time (sec),level (dB(SPL))
0.1,77.3162
0.2,77.5927
0.3,76.7726
0.4,79.7945
0.5,81.4626
0.6,81.1544
0.7,79.1043
0.8,78.7624
0.9,78.2654
1,77.442
1.1,77.4592
1.2,76.9413
1.3,75.7868
1.4,78.3299
1.5,77.6889
1.6,77.5644
1.7,75.233
1.8,77.1897
1.9,81.029
2,75.8126
2.1,73.8283
2.2,74.1202
2.3,79.1801
2.4,83.7934
2.5,84.0023
2.6,76.0074
2.7,75.567
2.8,78.9041
2.9,77.5183
3,74.2121
3.1,79.1773
3.2,75.8476
3.3,76.1941
3.4,74.9667
3.5,74.9018
3.6,75.5349
3.7,75.0097
3.8,74.2901
3.9,74.7799
4,74.4667
4.1,75.4612
4.2,74.9673
4.3,76.005
4.4,75.9128
4.5,76.8753
4.6,77.1917
4.7,75.5627
4.8,74.4771
4.9,74.4284
5,75.2182
5.1,75.3982
5.2,74.3447
5.3,74.3193
5.4,75.1747
5.5,75.1851
5.6,79.7322
5.7,74.5595
5.8,75.5477
5.9,85.0457
6,82.2044
6.1,76.0299
6.2,74.8333
6.3,75.1929
6.4,74.8412
6.5,74.9247
6.6,74.8857
6.7,74.3457
6.8,74.3165
6.9,79.51
7,74.3825
7.1,74.1394
7.2,74.328
7.3,74.0166
7.4,73.9914
7.5,74.3197
7.6,81.2094
7.7,80.8685
7.8,75.7121
7.9,74.239
8,74.0936
8.1,74.1281
8.2,74.772
8.3,74.8498
8.4,74.436
8.5,75.4066
8.6,74.4779
8.7,77.7615
8.8,75.001
8.9,74.8607
9,74.5798
9.1,74.2613
9.2,74.3792
9.3,74.3863
9.4,74.3999
9.5,74.3612
9.6,74.3519
9.7,74.2019
9.8,76.6648
9.9,75.4563
10,76.8031
10.1,75.0504
10.2,79.093
10.3,75.3554
10.4,76.9219
10.5,76.375
10.6,77.3031
10.7,76.6558
10.8,76.264
10.9,76.1962
11,75.9587
11.1,77.3079
11.2,76.062
11.3,76.2293
11.4,75.5205
11.5,77.6472
11.6,75.828
11.7,76.2671
11.8,75.4422
11.9,78.1722
12,76.3145
12.1,77.3434
12.2,77.5218
12.3,76.369
12.4,75.4581
12.5,75.2357
12.6,76.2447
12.7,76.8992
12.8,77.0875
12.9,76.9031
13,76.998
13.1,75.0189
13.2,75.7433
13.3,76.7171
13.4,74.4079
13.5,77.0441
13.6,77.4335
13.7,78.3483
13.8,76.2735
13.9,77.0075
14,77.3696
14.1,78.4773
14.2,76.8329
14.3,76.4946
14.4,76.5988
14.5,76.3348
14.6,75.1327
14.7,74.9461
14.8,77.1026
14.9,75.9457
15,75.5713
15.1,77.7348
15.2,76.9254
15.3,78.4853
15.4,77.1486
15.5,76.8666
15.6,77.0403
15.7,77.853
15.8,76.4795
15.9,77.6025
16,76.3119
16.1,75.376
