freq (Hz),ISL (dB)
1.34583,21.5231
2.01874,26.4188
2.69165,30.7361
3.36456,31.7015
4.03748,33.8176
4.71039,35.8242
5.3833,40.1933
6.05621,39.4538
6.72913,37.5648
7.40204,38.0339
8.07495,37.08
8.74786,37.1103
9.42078,37.3465
10.0937,38.4574
10.7666,37.4618
11.4395,38.6506
12.1124,38.5231
12.7853,39.6711
13.4583,40.7312
14.1312,40.4184
14.8041,39.5623
15.477,37.5348
16.1499,36.7839
16.8228,37.0334
17.4957,35.4454
18.1686,35.6143
18.8416,36.4479
19.5145,39.3338
20.1874,38.8284
20.8603,38.9916
21.5332,37.0543
22.2061,35.0044
22.879,35.2238
23.5519,35.8982
24.2249,35.5842
24.8978,35.5502
25.5707,35.5882
26.2436,34.7959
26.9165,34.0498
27.5894,32.6756
28.2623,32.1451
28.9352,33.1338
29.6082,33.8773
30.2811,34.3753
30.954,33.4113
31.6269,36.6723
32.2998,33.9868
32.9727,31.7579
33.6456,30.7164
34.3185,30.9737
34.9915,32.5805
35.6644,31.043
36.3373,31.2691
37.0102,30.6975
37.6831,30.8754
38.356,29.7388
39.0289,28.4491
39.7018,28.3565
40.3748,27.3863
41.0477,26.1886
41.7206,27.1538
42.3935,26.596
43.0664,28.0119
43.7393,28.4006
44.4122,29.3219
45.0851,27.2556
45.7581,26.7849
46.431,26.3152
47.1039,25.3158
47.7768,25.0603
48.4497,24.6298
49.1226,24.342
49.7955,24.4722
50.4684,25.0093
51.1414,24.7467
51.8143,23.7342
52.4872,24.5417
53.1601,24.7244
53.833,24.6664
54.5059,24.2826
55.1788,24.7017
55.8517,24.5815
56.5247,24.7269
57.1976,23.6385
57.8705,25.3382
58.5434,26.9209
59.2163,32.6765
59.8892,46.2963
60.5621,39.8714
61.235,27.1539
61.908,25.1813
62.5809,23.8689
63.2538,24.7149
63.9267,24.9228
64.5996,24.0612
65.2725,24.5039
65.9454,24.0771
66.6183,25.1478
67.2913,25.4838
67.9642,25.3411
68.6371,25.8692
69.31,26.1452
69.9829,28.6134
70.6558,29.0242
71.3287,29.1789
72.0016,30.5894
72.6746,33.1057
73.3475,32.7001
74.0204,31.323
74.6933,31.7791
75.3662,33.134
76.0391,33.1071
76.712,34.784
77.3849,35.5496
78.0579,35.1021
78.7308,35.7881
79.4037,35.0411
80.0766,36.4965
80.7495,36.6602
81.4224,37.5059
82.0953,37.3506
82.7682,38.9963
83.4412,36.9518
84.1141,37.0501
84.787,38.4822
85.4599,40.8595
86.1328,40.659
86.8057,41.4453
87.4786,41.8886
88.1516,40.6242
88.8245,40.1501
89.4974,42.0791
90.1703,42.5771
90.8432,40.821
91.5161,41.8883
92.189,40.424
92.8619,42.5223
93.5349,42.5417
94.2078,42.7848
94.8807,41.9031
95.5536,42.815
96.2265,42.6914
96.8994,42.8404
97.5723,44.7753
98.2452,44.2425
98.9182,43.7827
99.5911,44.6984
100.264,44.9805
100.937,42.5652
101.61,41.8175
102.283,42.1435
102.956,43.7729
103.629,44.0664
104.301,45.0798
104.974,45.1255
105.647,43.4448
106.32,43.1226
106.993,44.3128
107.666,45.0115
108.339,44.6679
109.012,44.783
109.685,45.9967
110.358,47.775
111.031,46.0952
111.703,45.5847
112.376,45.2845
113.049,44.9912
113.722,44.1064
114.395,45.7524
115.068,44.0059
115.741,43.8143
116.414,46.0854
117.087,46.0529
117.76,44.0924
118.433,43.701
119.106,43.9698
119.778,44.0931
120.451,44.2534
121.124,44.5401
121.797,44.9672
122.47,44.1861
123.143,45.1538
123.816,45.4886
124.489,45.1265
125.162,44.8631
125.835,45.2436
126.508,44.4011
127.18,44.6657
127.853,44.3346
128.526,43.783
129.199,42.389
129.872,42.2312
130.545,42.884
131.218,42.7337
131.891,41.6926
132.564,40.4823
133.237,40.9351
133.91,41.6176
134.583,41.7915
135.255,42.2271
135.928,42.6719
136.601,41.7827
137.274,41.0653
137.947,41.3378
138.62,41.9213
139.293,41.5063
139.966,41.0873
140.639,39.3669
141.312,40.046
141.985,40.1346
142.657,40.0731
143.33,40.6207
144.003,40.5027
144.676,39.823
145.349,39.449
146.022,40.7298
146.695,40.4098
147.368,39.9249
148.041,40.3709
148.714,40.234
149.387,39.2439
150.06,37.9437
150.732,39.478
151.405,40.2335
152.078,39.2509
152.751,38.9905
153.424,38.7854
154.097,39.1227
154.77,37.6583
155.443,37.6223
156.116,37.3422
156.789,38.2112
157.462,38.2311
158.134,37.8364
158.807,37.9436
159.48,37.8837
160.153,38.3122
160.826,38.0626
161.499,37.4977
162.172,37.4726
162.845,37.3603
163.518,37.3697
164.191,37.7994
164.864,39.3631
165.536,40.0176
166.209,38.4566
166.882,37.9706
167.555,37.7616
168.228,37.9373
168.901,37.3668
169.574,36.3909
170.247,35.945
170.92,35.7342
171.593,36.1181
172.266,36.186
172.939,36.33
173.611,36.7759
174.284,37.5963
174.957,38.4799
175.63,37.0785
176.303,36.1102
176.976,35.6646
177.649,35.205
178.322,33.927
178.995,35.6304
179.668,34.826
180.341,35.0645
181.013,34.43
181.686,34.0879
182.359,34.565
183.032,34.1217
183.705,36.0174
184.378,36.7545
185.051,36.0206
185.724,36.8701
186.397,36.9042
187.07,36.4258
187.743,35.1128
188.416,36.1124
189.088,35.3203
189.761,36.113
190.434,37.0538
191.107,36.341
191.78,34.7173
192.453,35.1518
193.126,34.9787
193.799,34.6889
194.472,35.5178
195.145,36.3242
195.818,38.9864
196.49,40.527
197.163,39.1425
197.836,36.6705
198.509,37.1794
199.182,36.2983
199.855,36.5721
200.528,35.3828
201.201,36.5748
201.874,36.941
202.547,36.1961
203.22,36.6895
203.893,36.1745
204.565,36.4431
205.238,35.9164
205.911,36.6571
206.584,36.6159
207.257,36.9069
207.93,36.205
208.603,36.2862
209.276,36.1745
209.949,35.9367
210.622,35.5933
211.295,34.4788
211.967,33.8999
212.64,33.442
213.313,34.6851
213.986,35.6913
214.659,35.7359
215.332,36.3838
216.005,36.3183
216.678,35.4218
217.351,35.9816
218.024,36.3003
218.697,35.6846
219.37,35.6939
220.042,37.4075
220.715,36.901
221.388,36.0277
222.061,35.4442
222.734,36.5831
223.407,37.248
224.08,37.284
224.753,36.2091
225.426,35.7668
226.099,36.8704
226.772,36.2378
227.444,34.9419
228.117,35.3091
228.79,35.3967
229.463,34.9641
230.136,34.1997
230.809,34.158
231.482,33.6999
232.155,34.8555
232.828,35.5683
233.501,36.5778
234.174,36.9015
234.846,36.447
235.519,36.3635
236.192,35.9032
236.865,35.3693
237.538,35.575
238.211,35.0679
238.884,34.724
239.557,34.6627
240.23,35.3743
240.903,34.8336
241.576,34.2899
242.249,34.6244
242.921,34.577
243.594,34.4283
244.267,35.1746
244.94,35.5513
245.613,35.4148
246.286,36.4917
246.959,37.1278
247.632,37.4725
248.305,36.7697
248.978,36.0578
249.651,35.2939
250.323,37.3467
250.996,36.8758
251.669,37.6243
252.342,38.0341
253.015,36.6029
253.688,36.1009
254.361,36.0843
255.034,36.0714
255.707,34.8159
256.38,34.485
257.053,33.8768
257.726,33.5916
258.398,34.4872
259.071,34.8552
259.744,34.3652
260.417,34.2965
261.09,35.9905
261.763,37.3787
262.436,37.8729
263.109,35.9759
263.782,34.6478
264.455,33.0033
265.128,33.9352
265.8,32.9843
266.473,33.2913
